padd,selected_model,cv_mae_kb
1,seasonal_change,1232.1791666666666
2,seasonal_change,4690.1170833333335
3,seasonal_change,6222.722083333333
4,seasonal_change,757.6949999999999
5,seasonal_change,1809.3779166666666
