region,previous_mae_kb,refit_mae_kb,improvement_pct,test_months
U.S.,6556.73333333334,6781.312499999997,-3.4251685290437983,24
PADD 1,676.875,579.6666666666666,14.361341951369655,24
PADD 2,3143.408333333334,2879.945833333333,8.381427802624042,24
PADD 3,5740.991666666666,5950.431250000002,-3.648142960202927,24
PADD 4,510.7083333333332,556.0124999999998,-8.870849310598029,24
PADD 5,2086.7166666666667,1971.5395833333334,5.519536273092496,24
