month,origin_month,horizon,padd,padd_name,model,stock_kb,previous_stock_kb,stock_change_kb,identity_stock_unclipped_kb,balance_kbd,model_reconciliation_kbd,supply_kbd,total_demand_kbd,production_kbd,demand_kbd,imports_kbd,exports_kbd,net_receipts_kbd,adjustments_kbd,transfers_kbd,direct_use_kbd,cdu_capacity_kbd,utilization_ratio
2026-07-01,2026-06-01,1,1,East Coast,constrained_level,9020.388047005206,9139.0,-118.61195299479368,9201.138068536513,2.0044538237584675,-5.830645855848586,809.4295814132105,807.425127589452,54.319717741935484,785.7451640717869,658.0449903993856,21.679963517665122,99.80787058371736,-125.4475825652842,122.70458525345623,0.0,928.0,0.8467081509394255
2026-08-01,2026-06-01,2,1,East Coast,constrained_level,8859.135619255869,9020.388047005206,-161.25242774933758,9009.504286604606,-6.181734901029245,0.9800436833086774,828.8811943164363,835.0629292174656,55.03584677419355,816.2410302159295,634.5933774961597,18.821899001536096,115.57561251920123,-96.26693740399381,119.94329493087557,0.0,928.0,0.8795700756637171
2026-09-01,2026-06-01,3,1,East Coast,constrained_level,8865.92161648034,8859.135619255869,6.78599722447143,9806.26111980781,26.55856110677348,-26.3323611992911,800.3235599078341,773.7649988010605,54.80487903225806,770.2362180790943,632.6185387864823,3.5287807219662035,101.51324692780338,-109.87080837173582,121.25770353302613,0.0,928.0,0.8299959246541965
2026-10-01,2026-06-01,4,1,East Coast,constrained_level,8786.300851378448,8865.92161648034,-79.62076510189218,10935.588645208334,36.42992017421045,-38.998331951690844,779.5070007680492,743.0770805938388,54.68100806451613,743.0770805938388,635.0901516897081,0.0,105.5175480030722,-126.4798406298003,110.69813364055301,0.0,928.0,0.800729612708878
2026-11-01,2026-06-01,5,1,East Coast,constrained_level,8663.30658531712,8786.300851378448,-122.99426606132874,11722.713717718747,26.23750241701373,-30.337311285724688,823.123559907834,796.8860574908202,52.658212365591396,796.8860574908202,663.7385387864823,0.0,117.01991359447005,-132.7641417050691,122.47103686635947,0.0,928.0,0.8587134240202804
2026-12-01,2026-06-01,6,1,East Coast,constrained_level,8584.82766828287,8663.30658531712,-78.47891703425012,12090.697143157879,11.870433078681685,-14.402011047528463,812.7586136712749,800.8881805925932,50.78423387096774,788.9049912684765,637.3482162058372,11.983189324116747,116.20787058371738,-106.66048579109065,115.07877880184336,0.0,928.0,0.8501131371427548
2027-01-01,2026-06-01,7,1,East Coast,constrained_level,8610.48082386081,8584.82766828287,25.653155577940197,13216.722124963662,36.32338650986401,-35.49586536218852,800.2553878648234,763.9320013549594,51.07455645161291,757.3423604179394,625.7224097542243,6.589640937019983,115.05303187403996,-123.22822772657449,131.63361751152073,0.0,928.0,0.8161016814848485
2027-02-01,2026-06-01,8,1,East Coast,constrained_level,8549.257763427775,8610.48082386081,-61.223060433034334,14807.885137163667,56.827250435714404,-59.01378830832277,779.4710640129244,722.6438135772102,53.99936179087875,716.0857553511388,601.88706095397,6.558058226071299,104.85692508872292,-98.29686748503626,117.02458366438901,0.0,928.0,0.7716441329214858
2027-03-01,2026-06-01,9,1,East Coast,constrained_level,8568.194796943608,8549.257763427775,18.93703351583281,15562.431425131523,24.34020283767279,-23.72933078877496,719.2489362519201,694.9087334142473,53.38423387096775,692.0158666707757,552.1933774961598,2.8928667434715827,127.96270929339478,-164.89274385560677,150.60135944700463,0.0,928.0,0.745706752877991
2027-04-01,2026-06-01,10,1,East Coast,constrained_level,8305.071992622004,8568.194796943608,-263.1228043216033,17050.918890231453,49.61624883666434,-58.38700898071778,833.0835599078342,783.4673110711698,53.044879032258066,777.0985303492035,655.8518721198157,6.368780721966203,122.19324692780339,-127.68414170506912,129.67770353302612,0.0,928.0,0.8373906577038831
