month,origin_month,horizon,padd,padd_name,model,stock_kb,previous_stock_kb,stock_change_kb,identity_stock_unclipped_kb,balance_kb,model_reconciliation_kb,supply_kb,total_demand_kb,production_kb,demand_kb,imports_kb,exports_kb,net_receipts_kb,adjustments_kb,transfers_kb,direct_use_kb
2026-07-01,2026-06-01,1,1,East Coast,seasonal_change,8855.6,9139.0,-283.39999999999964,8862.145952380954,-276.85404761904647,-6.5459523809531674,25092.317023809523,25369.17107142857,1683.91125,24697.09220238095,20399.394702380952,672.0788690476188,3094.043988095238,-3888.87505952381,3803.8421428571423,0.0
2026-07-01,2026-06-01,1,2,Midwest,seasonal_change,96241.2,98619.0,-2377.800000000003,96229.42291666666,-2389.577083333337,11.777083333334303,127549.22214285712,129938.79922619046,57504.39428571428,125579.00553571427,90446.89267857141,4359.793690476189,-20420.81232142858,-2269.3274999999985,2288.0749999999994,0.0
2026-07-01,2026-06-01,1,3,Gulf Coast,seasonal_change,549589.2,555461.0,-5871.800000000047,556351.614940476,890.6149404760508,-6762.414940476097,426014.3880357142,425123.77309523814,328506.9588095237,294552.86940476194,42064.57958333333,130570.90369047619,37745.14928571428,6045.411904761904,11652.28845238095,0.0
2026-07-01,2026-06-01,1,4,Rocky Mountain,seasonal_change,21752.0,22336.0,-584.0,21707.28690476191,-628.7130952380903,44.71309523809032,19525.481309523813,20154.194404761904,33186.86321428572,20153.790238095236,11437.279821428572,0.40416666666666656,-25384.58732142857,-355.5492857142859,641.4748809523809,0.0
2026-07-01,2026-06-01,1,5,West Coast,seasonal_change,40381.8,40752.0,-370.1999999999971,40105.406250000015,-646.5937499999854,276.39374999998836,64656.8799404762,65303.47369047619,20607.73964285715,65259.11226190476,37598.354880952385,44.36142857142843,4966.0038690476185,-594.9939880952379,2079.7755357142855,0.0
2026-07-01,2026-06-01,1,0,United States (sum of PADDs),deployed_policy,716819.8,726307.0,-9487.200000000046,723255.8769642855,-3051.1230357144086,-6436.076964285638,662838.2884523809,665889.4114880952,441489.86720238085,530241.8696428571,201946.50166666665,135647.5418452381,-0.20250000001306034,-1063.3339285714278,20465.45601190476,0.0
