PADD,Average error (kb),Error / average stocks (%),Improvement over unchanged stocks (%),Average bias (kb),Worst month,Largest miss (kb)
1,579.6666666666666,7.118406442996976,7.530741110003325,-136.52500000000006,2024-07-01,2265.2
2,2879.945833333333,2.7203657764306883,-0.7091444224268662,224.34166666666655,2026-05-01,9159.399999999994
3,5950.431250000002,2.493246637023392,22.18225360861815,599.3437500000013,2026-02-01,17923.0
4,556.0124999999998,2.3331112871162483,18.458295142071524,-12.145833333333334,2026-05-01,2233.7999999999993
5,1971.5395833333334,4.234429058002531,-0.3625970389852906,131.87291666666746,2024-07-01,5824.199999999997
