mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__ridge__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score,mean_test_mae_kb,padd,model,stage,train_end,param_model__polynomialfeatures__degree,param_model__splinetransformer__degree,param_model__splinetransformer__n_knots,param_model__max_depth,param_model__min_samples_leaf,param_model__n_estimators,param_model__learning_rate,param_model__reg_lambda,param_model__regressor__mlpregressor__alpha,param_model__regressor__mlpregressor__hidden_layer_sizes,param_model__weights,param_model__regressor__huberregressor__alpha,param_model__regressor__huberregressor__epsilon
0.026442670822143556,0.0126461008422776,0.0007897853851318359,6.531043442104319e-05,0.01,"{""ridge__alpha"": 0.01}",-712.3641237313682,-1741.5396311679117,-1233.3733736381953,-1885.4870457461136,-1260.8249916421853,-1704.6032552663498,-696.7422288107336,-522.4426440406951,-641.1268905630645,-739.3059823705058,-1113.7810166977124,492.2375108754529,6,-901.9196293256864,-849.8632224669349,-926.4850613472421,-964.5476630469666,-1046.9934085990594,-1042.819340756619,-1092.4622434190874,-1056.8462207852524,-1013.6334726527544,-984.1492527302047,-987.9719515129807,73.23601532848666,1113.7810166977124,1,ridge_change,development,2024-06-01,,,,,,,,,,,,,
0.03200500011444092,0.02058431670665113,0.0008435964584350586,0.0003098761970042615,0.1,"{""ridge__alpha"": 0.1}",-709.605661375068,-1737.1316662650831,-1234.6569102899564,-1885.774192509377,-1262.549243249128,-1697.8242125506513,-696.5509599643337,-519.9443636736379,-640.148572088095,-738.6699031373637,-1112.2855685102695,491.6790825668961,5,-902.5115422696476,-850.0957175821842,-926.4519081992937,-964.7119672303108,-1046.9042479191362,-1043.4955991449556,-1092.5245088776662,-1056.7711400968137,-1013.5362993000562,-984.0963194167645,-988.109925003683,73.16276557892029,1112.2855685102695,1,ridge_change,development,2024-06-01,,,,,,,,,,,,,
0.027560210227966307,0.017879799896903317,0.0011911869049072265,0.000962499800894174,1.0,"{""ridge__alpha"": 1}",-718.0356602875369,-1696.953169152458,-1234.1114734920736,-1885.88704522679,-1272.0994786280335,-1655.336433096056,-706.890432301556,-516.5935186695547,-631.2851624433387,-732.7554623065938,-1104.9947835603991,482.1910293728233,3,-904.1377447724064,-850.962895308283,-926.6417406704714,-966.6470837191958,-1049.240103609605,-1045.5853554949242,-1093.0104612500327,-1056.4330028061058,-1013.0699714684276,-984.229553556314,-988.9957912655766,73.1042604584404,1104.9947835603991,1,ridge_change,development,2024-06-01,,,,,,,,,,,,,
0.026505589485168457,0.01526209557152278,0.0014730453491210937,0.0019390654777770315,10.0,"{""ridge__alpha"": 10}",-759.3882135463978,-1457.3255162752966,-1282.3553866334432,-1886.005261153192,-1311.3070558167294,-1455.7193682964728,-777.1726964877067,-509.8331239921713,-617.6171674993623,-691.191263236888,-1074.7915052937658,437.25508799646155,1,-924.8601276377846,-875.000697053494,-931.4054370128839,-978.9360043096551,-1066.248873827967,-1065.9246155816882,-1100.4803625796594,-1064.7916721234665,-1021.9276955121653,-992.4011829256629,-1002.1976668564428,70.66769619890333,1074.7915052937658,1,ridge_change,development,2024-06-01,,,,,,,,,,,,,
0.030603647232055664,0.01692959552392081,0.0007508516311645508,3.92154789716798e-05,100.0,"{""ridge__alpha"": 100}",-787.4787947182543,-1059.4934015787428,-1420.2830008598673,-1954.638470460949,-1448.1008216647979,-1407.4770182095046,-881.7515166735543,-545.1917077564577,-656.9788640792106,-597.7141155578116,-1075.910771155915,441.15929907513504,2,-1013.1290461708044,-965.3781438512439,-972.5141588988931,-1030.774233661496,-1121.2989611034295,-1141.0471249549125,-1157.7572386362444,-1128.0467947125135,-1084.1836870929717,-1049.1380561965327,-1066.326744527904,66.68860355320825,1075.910771155915,1,ridge_change,development,2024-06-01,,,,,,,,,,,,,
0.017220044136047365,0.009826398266847914,0.0007399559020996094,6.44240530229973e-05,1000.0,"{""ridge__alpha"": 1000}",-750.806063634444,-991.5741337186614,-1496.9025157443314,-2038.5662671035154,-1630.5630268235545,-1533.605091454351,-828.5036320151667,-568.2721287710007,-641.9138159539033,-587.4042463324166,-1106.8110921551345,497.0130355421897,4,-1067.901814592482,-1016.1315648870742,-1013.0086922444883,-1071.7096573899978,-1170.5458844535267,-1210.825852076795,-1235.4722878437456,-1199.0314258005164,-1152.2560823056797,-1114.8471459389725,-1125.1730407533278,76.46267747673751,1106.8110921551345,1,ridge_change,development,2024-06-01,,,,,,,,,,,,,
0.024355006217956544,0.017492768601710073,0.0007878303527832031,7.438049841605982e-05,0.01,"{""ridge__alpha"": 0.01}",-1020.5691685417887,-1905.1390794537692,-1367.7305415999851,-1800.3467208462198,-1364.551432280706,-1452.8755175878803,-846.4853637965965,-533.541787982392,-611.4205228071694,-739.0223277555846,-1164.1682462652093,460.89214374156865,6,-855.5125241647504,-822.9536155988999,-877.8845397629677,-904.0747784099586,-995.4675589158212,-1012.200149666857,-1048.835393278941,-1025.625497667008,-993.596329000762,-957.5525825678828,-949.370296903385,74.66991161279053,1164.1682462652093,1,seasonal_ridge_change,development,2024-06-01,,,,,,,,,,,,,
0.03252115249633789,0.01964703508669691,0.000802302360534668,5.6415947101812586e-05,0.1,"{""ridge__alpha"": 0.1}",-1008.8346838663083,-1898.5410634124084,-1364.327932699484,-1800.9639990557337,-1362.8792270777194,-1448.7781521399768,-845.3066059425933,-534.6225493527052,-611.597150243768,-738.0142308305907,-1161.3865594621288,459.82156830886476,5,-855.6256796761088,-822.9135994793824,-877.8111983852559,-904.2222218455274,-995.62982086519,-1013.5392573393779,-1049.1225098489892,-1025.7268166815313,-993.6871581952198,-957.6230262564771,-949.5901288573059,74.83878169844259,1161.3865594621288,1,seasonal_ridge_change,development,2024-06-01,,,,,,,,,,,,,
0.023665738105773926,0.013452129202231218,0.0007907629013061523,5.057701056761811e-05,1.0,"{""ridge__alpha"": 1}",-969.147937642339,-1838.9593567253166,-1331.4498331251477,-1806.5469422769254,-1350.3263352756812,-1428.4448792655114,-845.0517147907002,-534.9984713915221,-612.6552557236917,-728.5675883019067,-1144.6148314518741,450.1430408989856,4,-853.409582736531,-821.9020252857008,-877.7546857215456,-906.8053161098796,-995.9619068291529,-1015.1289802907202,-1049.881413128376,-1026.29668806404,-994.2813935549897,-958.0009602995972,-949.9422952020534,75.4987100010261,1144.6148314518741,1,seasonal_ridge_change,development,2024-06-01,,,,,,,,,,,,,
0.02350473403930664,0.02262993461001762,0.0007729768753051758,4.8129790698065304e-05,10.0,"{""ridge__alpha"": 10}",-814.605944681096,-1483.8002195878853,-1206.6304246697307,-1848.1629705052626,-1328.2735679888563,-1322.4689259064369,-839.3110032350368,-536.4091254220739,-619.5264204383144,-666.819878542048,-1066.600848097674,411.6320893529736,2,-866.4305222060816,-842.0166778026959,-891.686493339782,-932.8324730363291,-1018.2703906477084,-1034.7174477607439,-1063.278595705486,-1033.744144866692,-1001.5810656240149,-968.0155636239555,-965.257337461349,73.94576537626958,1066.600848097674,1,seasonal_ridge_change,development,2024-06-01,,,,,,,,,,,,,
