padd,intercept_kb,stock_lag1,lag_production_kb,lag_demand_kb,lag_imports_kb,lag_exports_kb,lag_net_receipts_kb,lag_adjustments_kb,lag_transfers_kb,lag_direct_use_kb
1,1423.2359034735,0.8043048730468627,0.0,0.0,0.02314705816010936,0.0,0.06118653291223724,0.12385522553968938,0.0,0.0
2,16508.9375047778,0.9126835698421111,0.37600757457403594,0.3480213505013232,0.2172741623189826,0.0724874075107953,0.2587816078050313,0.14112083474790268,0.28308060617990927,0.0
3,47138.77254677133,0.9623984883198378,0.364102521577475,0.3967507808182671,0.33255518345242263,0.48419672548217935,0.43089934347285586,0.3863523013841255,0.0,0.0
4,1631.086082611644,0.9032704012944927,0.08361295574473322,0.08574925448264513,0.054773078543806177,0.0,0.033133401608945776,0.07241583453312278,0.0,0.0
5,21482.76796484259,0.5373384446405799,0.4144947789126519,0.25389990282617003,0.17636070455351596,0.5819149640892708,0.34147428858581363,0.2825009586191664,0.0,0.0
