padd,model,padd_name,observations,mae_kb,rmse_kb,r2,nrmse
1,Spline ridge (4 knots),East Coast,210.0,1037.223088923965,1361.3292534416985,0.8242219534322739,0.41925892544789795
2,Seasonal ridge MLR,Midwest,210.0,3835.783044722844,5155.855567700625,0.9377168279482513,0.24956596733478867
3,Persistence,Gulf Coast,210.0,9163.090476190477,11773.132508466248,0.9890397127963975,0.10469139030313133
4,Persistence,Rocky Mountain,210.0,759.2904761904762,963.6231850973402,0.9499502299470387,0.22371805929106686
5,Polynomial ridge (degree 2),West Coast,210.0,1854.7507317965433,2340.708658719132,0.6059536171359656,0.6277311389950593
