model,observations,mae_kb,rmse_kb,r2,nrmse,mean_padd_nrmse,median_padd_nrmse,balanced_rank
Persistence,1050.0,3386.109523809524,5916.453622535973,0.9996519365216755,0.018656459426281653,0.3306195265817591,0.2552326762171978,1.0
Linear regression,1050.0,3905.1939480420738,7073.58848720727,0.9995024747710058,0.0223052735691402,0.370331513936009,0.2779955874749985,2.0
Random forest,1050.0,10219.798957846166,27491.31387731958,0.992485042661161,0.08668885360205796,0.5780415121062259,0.6243325450884035,3.0
XGBoost,1050.0,10092.70607142857,26527.873655276504,0.9930025402709657,0.08365082025320698,0.5805143368918573,0.6301737615096753,4.0
Neural network,1050.0,10049.479675789613,90579.39944691565,0.9184179900890486,0.28562564645170013,0.8210471609732968,0.583859489794089,5.0
