time_period,flow_breakdown,obs_value,assessment_code
2011-01-01,CLOSTLV,949346.0,1
2011-01-01,STOCKCH,9109.0,1
2011-02-01,CLOSTLV,949043.0,1
2011-02-01,STOCKCH,-303.0,1
2011-03-01,CLOSTLV,959484.0,1
2011-03-01,STOCKCH,10441.0,1
2011-04-01,CLOSTLV,963672.0,1
2011-04-01,STOCKCH,4188.0,1
2011-05-01,CLOSTLV,964553.0,1
2011-05-01,STOCKCH,881.0,1
2011-06-01,CLOSTLV,958722.0,1
2011-06-01,STOCKCH,-5831.0,1
2011-07-01,CLOSTLV,942590.0,1
2011-07-01,STOCKCH,-16132.0,1
2011-08-01,CLOSTLV,922551.0,1
2011-08-01,STOCKCH,-20039.0,1
2011-09-01,CLOSTLV,909312.0,1
2011-09-01,STOCKCH,-13239.0,1
2011-10-01,CLOSTLV,915765.0,1
2011-10-01,STOCKCH,6453.0,1
2011-11-01,CLOSTLV,913944.0,1
2011-11-01,STOCKCH,-1821.0,1
2011-12-01,CLOSTLV,908291.0,1
2011-12-01,STOCKCH,-5653.0,1
2012-01-01,CLOSTLV,911295.0,1
2012-01-01,STOCKCH,3004.0,1
2012-02-01,CLOSTLV,915528.0,1
2012-02-01,STOCKCH,4233.0,1
2012-03-01,CLOSTLV,928656.0,1
2012-03-01,STOCKCH,13128.0,1
2012-04-01,CLOSTLV,933273.0,1
2012-04-01,STOCKCH,4617.0,1
2012-05-01,CLOSTLV,938875.0,1
2012-05-01,STOCKCH,5602.0,1
2012-06-01,CLOSTLV,937839.0,1
2012-06-01,STOCKCH,-1036.0,1
2012-07-01,CLOSTLV,928397.0,1
2012-07-01,STOCKCH,-9442.0,1
2012-08-01,CLOSTLV,923661.0,1
2012-08-01,STOCKCH,-4736.0,1
2012-09-01,CLOSTLV,925496.0,1
2012-09-01,STOCKCH,1835.0,1
2012-10-01,CLOSTLV,930217.0,1
2012-10-01,STOCKCH,4721.0,1
2012-11-01,CLOSTLV,933858.0,1
2012-11-01,STOCKCH,3641.0,1
2012-12-01,CLOSTLV,923535.0,1
2012-12-01,STOCKCH,-10323.0,1
2013-01-01,CLOSTLV,932208.0,1
2013-01-01,STOCKCH,8673.0,1
2013-02-01,CLOSTLV,936677.0,1
2013-02-01,STOCKCH,4469.0,1
2013-03-01,CLOSTLV,942212.0,1
2013-03-01,STOCKCH,5535.0,1
2013-04-01,CLOSTLV,944314.0,1
2013-04-01,STOCKCH,2102.0,1
2013-05-01,CLOSTLV,940355.0,1
2013-05-01,STOCKCH,-3959.0,1
2013-06-01,CLOSTLV,929277.0,1
2013-06-01,STOCKCH,-11078.0,1
2013-07-01,CLOSTLV,925044.0,1
2013-07-01,STOCKCH,-4233.0,1
2013-08-01,CLOSTLV,926080.0,1
2013-08-01,STOCKCH,1036.0,1
2013-09-01,CLOSTLV,926147.0,1
2013-09-01,STOCKCH,67.0,1
2013-10-01,CLOSTLV,934398.0,1
2013-10-01,STOCKCH,8251.0,1
2013-11-01,CLOSTLV,929144.0,1
2013-11-01,STOCKCH,-5254.0,1
2013-12-01,CLOSTLV,916024.0,1
2013-12-01,STOCKCH,-13120.0,1
2014-01-01,CLOSTLV,933251.0,1
2014-01-01,STOCKCH,4840.0,1
2014-02-01,CLOSTLV,938794.0,1
2014-02-01,STOCKCH,5543.0,1
2014-03-01,CLOSTLV,948835.0,1
2014-03-01,STOCKCH,10041.0,1
2014-04-01,CLOSTLV,955532.0,1
2014-04-01,STOCKCH,6697.0,1
2014-05-01,CLOSTLV,954311.0,1
2014-05-01,STOCKCH,-1221.0,1
2014-06-01,CLOSTLV,943996.0,1
2014-06-01,STOCKCH,-10315.0,1
2014-07-01,CLOSTLV,928781.0,1
2014-07-01,STOCKCH,-15215.0,1
2014-08-01,CLOSTLV,921011.0,1
2014-08-01,STOCKCH,-7770.0,1
2014-09-01,CLOSTLV,921581.0,1
2014-09-01,STOCKCH,570.0,1
2014-10-01,CLOSTLV,942538.0,1
2014-10-01,STOCKCH,20957.0,1
2014-11-01,CLOSTLV,947022.0,1
2014-11-01,STOCKCH,4484.0,1
2014-12-01,CLOSTLV,953046.0,1
2014-12-01,STOCKCH,6024.0,1
2015-01-01,CLOSTLV,981048.0,1
2015-01-01,STOCKCH,28002.0,1
2015-02-01,CLOSTLV,1006711.0,1
2015-02-01,STOCKCH,25663.0,1
2015-03-01,CLOSTLV,1034091.0,1
2015-03-01,STOCKCH,27380.0,1
2015-04-01,CLOSTLV,1043259.0,1
2015-04-01,STOCKCH,9168.0,1
2015-05-01,CLOSTLV,1040270.0,1
2015-05-01,STOCKCH,-2989.0,1
2015-06-01,CLOSTLV,1032433.0,1
2015-06-01,STOCKCH,-7837.0,1
2015-07-01,CLOSTLV,1019705.0,1
2015-07-01,STOCKCH,-12728.0,1
2015-08-01,CLOSTLV,1022169.0,1
2015-08-01,STOCKCH,2464.0,1
2015-09-01,CLOSTLV,1025137.0,1
2015-09-01,STOCKCH,2968.0,1
2015-10-01,CLOSTLV,1050859.0,1
2015-10-01,STOCKCH,25722.0,1
2015-11-01,CLOSTLV,1051288.0,1
2015-11-01,STOCKCH,429.0,1
2015-12-01,CLOSTLV,1045235.0,1
2015-12-01,STOCKCH,-6053.0,1
2016-01-01,CLOSTLV,1052102.0,1
2016-01-01,STOCKCH,19432.0,1
2016-02-01,CLOSTLV,1071809.0,1
2016-02-01,STOCKCH,19707.0,1
2016-03-01,CLOSTLV,1076212.0,1
2016-03-01,STOCKCH,4403.0,1
2016-04-01,CLOSTLV,1080977.0,1
2016-04-01,STOCKCH,4765.0,1
2016-05-01,CLOSTLV,1083678.0,1
2016-05-01,STOCKCH,2701.0,1
2016-06-01,CLOSTLV,1072660.0,1
2016-06-01,STOCKCH,-11018.0,1
2016-07-01,CLOSTLV,1064705.0,1
2016-07-01,STOCKCH,-7955.0,1
2016-08-01,CLOSTLV,1058304.0,1
2016-08-01,STOCKCH,-6401.0,1
2016-09-01,CLOSTLV,1045724.0,1
2016-09-01,STOCKCH,-12580.0,1
2016-10-01,CLOSTLV,1066473.0,1
2016-10-01,STOCKCH,20749.0,1
2016-11-01,CLOSTLV,1066281.0,1
2016-11-01,STOCKCH,-192.0,1
2016-12-01,CLOSTLV,1063217.0,1
2016-12-01,STOCKCH,-3064.0,1
2017-01-01,CLOSTLV,1083338.0,1
2017-01-01,STOCKCH,20121.0,1
2017-02-01,CLOSTLV,1102652.0,1
2017-02-01,STOCKCH,19314.0,1
2017-03-01,CLOSTLV,1112324.0,1
2017-03-01,STOCKCH,9672.0,1
2017-04-01,CLOSTLV,1095548.0,1
2017-04-01,STOCKCH,-16776.0,1
2017-05-01,CLOSTLV,1084270.0,1
2017-05-01,STOCKCH,-11278.0,1
2017-06-01,CLOSTLV,1063017.0,1
2017-06-01,STOCKCH,-21253.0,1
2017-07-01,CLOSTLV,1044702.0,1
2017-07-01,STOCKCH,-18315.0,1
2017-08-01,CLOSTLV,1020075.0,1
2017-08-01,STOCKCH,-24627.0,1
2017-09-01,CLOSTLV,1017108.0,1
2017-09-01,STOCKCH,-2967.0,1
2017-10-01,CLOSTLV,1001449.0,1
2017-10-01,STOCKCH,-15659.0,1
2017-11-01,CLOSTLV,987042.0,1
2017-11-01,STOCKCH,-14407.0,1
2017-12-01,CLOSTLV,955976.0,1
2017-12-01,STOCKCH,-31066.0,1
2018-01-01,CLOSTLV,955222.0,1
2018-01-01,STOCKCH,-754.0,1
2018-02-01,CLOSTLV,960061.0,1
2018-02-01,STOCKCH,4839.0,1
2018-03-01,CLOSTLV,961149.0,1
2018-03-01,STOCKCH,1088.0,1
2018-04-01,CLOSTLV,971265.0,1
2018-04-01,STOCKCH,10116.0,1
2018-05-01,CLOSTLV,965685.0,1
2018-05-01,STOCKCH,-5580.0,1
2018-06-01,CLOSTLV,947089.0,1
2018-06-01,STOCKCH,-18596.0,1
2018-07-01,CLOSTLV,942205.0,1
2018-07-01,STOCKCH,-4884.0,1
2018-08-01,CLOSTLV,940385.0,1
2018-08-01,STOCKCH,-1820.0,1
2018-09-01,CLOSTLV,947392.0,1
2018-09-01,STOCKCH,7007.0,1
2018-10-01,CLOSTLV,958552.0,1
2018-10-01,STOCKCH,11160.0,1
2018-11-01,CLOSTLV,969415.0,1
2018-11-01,STOCKCH,10863.0,1
2018-12-01,CLOSTLV,962178.0,1
2018-12-01,STOCKCH,-7237.0,1
2019-01-01,CLOSTLV,969185.0,1
2019-01-01,STOCKCH,7007.0,1
2019-02-01,CLOSTLV,972101.0,1
2019-02-01,STOCKCH,2916.0,1
2019-03-01,CLOSTLV,975061.0,1
2019-03-01,STOCKCH,2960.0,1
2019-04-01,CLOSTLV,984022.0,1
2019-04-01,STOCKCH,8961.0,1
2019-05-01,CLOSTLV,992170.0,1
2019-05-01,STOCKCH,8148.0,1
2019-06-01,CLOSTLV,975572.0,1
2019-06-01,STOCKCH,-16598.0,1
2019-07-01,CLOSTLV,953660.0,1
2019-07-01,STOCKCH,-21912.0,1
2019-08-01,CLOSTLV,942257.0,1
2019-08-01,STOCKCH,-11403.0,1
2019-09-01,CLOSTLV,933281.0,1
2019-09-01,STOCKCH,-8976.0,1
2019-10-01,CLOSTLV,947392.0,1
2019-10-01,STOCKCH,14111.0,1
2019-11-01,CLOSTLV,943900.0,1
2019-11-01,STOCKCH,-3492.0,1
2019-12-01,CLOSTLV,929906.0,1
2019-12-01,STOCKCH,-13994.0,1
2020-01-01,CLOSTLV,939807.0,1
2020-01-01,STOCKCH,9901.0,1
2020-02-01,CLOSTLV,951196.0,1
2020-02-01,STOCKCH,11389.0,1
2020-03-01,CLOSTLV,980026.0,1
2020-03-01,STOCKCH,28830.0,1
2020-04-01,CLOSTLV,1032988.0,1
