padd,intercept_kb,stock_t_kb,production_kb,demand_outflow_kb,imports_kb,exports_outflow_kb
1,988.7579341253822,0.9133694654301002,0.0,0.0,0.0,0.0
2,20720.831445973803,0.9278624751618035,0.13954299219758132,0.1755741385222867,0.003935172229761851,0.0
3,21938.107021339936,0.9872978949251081,0.30860266455322627,0.2625253764635334,0.11294329875821485,0.33108830092707425
4,1711.9657635179392,0.9097681401849385,0.05259991828152774,0.0571282230079986,0.0,0.0
5,19047.25516037034,0.6088289765502073,0.19742480622384412,0.08035109450769369,0.018574090354653752,0.19861311646027713
