padd,padd_name,month,forecast_month,stock_t_kb,fundamental_balance_kb,identity_stock_t1_kb,regression_stock_t1_kb,regression_stock_change_kb
3,Gulf Coast,2026-05-01,2026-06-01,599784.0,-114058.0,485726.0,580890.3239949754,-18893.67600502458
2,Midwest,2026-05-01,2026-06-01,100616.0,17039.0,117655.0,100352.97009469036,-263.0299053096387
1,East Coast,2026-05-01,2026-06-01,8707.0,-8437.0,270.0,8941.465869625265,234.46586962526453
4,Rocky Mountain,2026-05-01,2026-06-01,24106.0,24642.0,48748.0,24281.114736086707,175.11473608670713
5,West Coast,2026-05-01,2026-06-01,47371.0,-7458.0,39913.0,47589.00277380203,218.00277380202897
0,United States (sum of PADDs),2026-05-01,2026-06-01,780584.0,-88272.0,692312.0,762054.8774691797,-18529.122530820216
