padd,model,padd_name,observations,mae_kb,rmse_kb,r2,nrmse
1,Persistence,East Coast,210.0,1046.5047619047618,1378.4925306808366,0.819761686899404,0.42454483049566866
2,Persistence,Midwest,210.0,4062.8380952380953,5272.925746996001,0.9348562809910071,0.2552326762171978
3,Persistence,Gulf Coast,210.0,9163.090476190477,11773.132508466248,0.9890397127963975,0.10469139030313133
4,Persistence,Rocky Mountain,210.0,759.2904761904762,963.6231850973402,0.9499502299470387,0.22371805929106686
5,Random forest,West Coast,210.0,1939.3142007730726,2375.7784206055476,0.5940575313288134,0.6371361461031595
