model,observations,mae_kb,rmse_kb,r2,nrmse,mean_padd_nrmse,median_padd_nrmse,balanced_rank
Persistence,1050.0,3386.109523809524,5916.453622535973,0.9996519365216755,0.018656459426281653,0.3306195265817591,0.2552326762171978,1.0
Spline ridge (4 knots),1050.0,3453.4279182499,6033.754194257181,0.9996379981797688,0.019026345424992198,0.33297401704878965,0.2582773793573617,2.0
Seasonal ridge MLR,1050.0,3446.6454359827007,6062.516979991798,0.9996345386427099,0.019117043633628657,0.34529638826007125,0.24956596733478867,3.0
Change MLR,1050.0,3632.164523862677,6387.61821354002,0.9995942921340683,0.020142191189932292,0.3513270607046467,0.2627571817201555,4.0
Polynomial ridge (degree 2),1050.0,4076.5804995536664,8145.237609153063,0.9993403052276777,0.02568452398473331,0.367507252209765,0.28062638020597974,5.0
Physical level MLR,1050.0,3922.108349850719,7088.831607716708,0.9995003281919753,0.022353339974702992,0.3714237048462561,0.28657726341908796,6.0
